Value,City,Country,Latitude,Longitude
3213271,Madrid,Spain,40.4,-3.7
3187171,Tangshan,China,39.6,118.2
3150000,Kano,Nigeria,12,8.5
3102000,Casablanca,Morocco,33.6,-7.6
3093980,Changsha,China,28.2,113
3073350,Jaipur,India,26.9,75.8
3066110,Dar es Salaam,Tanzania,-6.8,39.2
3053778,Xuzhou,China,34.3,117.2
3039500,Wenzhou,China,28,120.6
3037159,Guiyang,China,26.6,106.7
3029372,Ürümqi,China,43.8,87.6
2980800,Zibo,China,36.8,118
2959518,Āddīs Ābebā,Ethiopia,9,38.7
2921763,Fuzhou,China,26.1,119.3
2902927,Salvador,Brazil,-13,-38.5
2890151,Buenos Aires,Argentina,-34.6,-58.4
2876374,Surat,India,21.2,72.8
2861784,Shijiazhuang,China,38,114.5
2852372,Brasília,Brazil,-15.9,-47.8
2815601,Lucknow,India,26.8,80.9
2808286,Incheon,Republic of Korea,37.5,126.6
2803716,Kiev,Ukraine,50.5,30.5
2801481,Dschidda,Saudi-Arabia,21.8,39.1
2778992,"Kaohsiung
","Taiwan
",22.6,120.3
2777979,Rome,Italy,41.9,12.5
2767031,Kanpur,India,26.5,80.3
2766258,Mashhad,Iran,36.3,59.6
2765487,Surabaya,Indonesia,-7.3,112.7
2761720,Quezon City,Philippines,14.7,121
2719835,"Taichung
","Taiwan
",24.1,120.7
2718782,Chicago,USA,41.8,-87.7
2702315,"Taipei
","Taiwan
",25,121.6
2645305,Osaka,Japan,34.7,135.5
2633420,Huai'an,China,33.6,119
2600200,Linyi,China,35.1,118.4
2582175,Faisalabad,Pakistan,31.4,73.1
2575478,Bandung,Indonesia,-6.9,107.6
2571896,Fortaleza,Brazil,-3.7,-38.5
2562152,Dakar,Senegal,14.7,-17.5
2529000,Damasus rural,Syria,33.5,37
2510951,Bekasi,Indonesia,-6.2,107
2508563,Daegu,Republic of Korea,35.9,128.6
2492325,Lanzhou,China,36.1,103.8
2491109,Belo Horizonte,Brazil,-19.9,-43.9
2470000,Ibadan,Nigeria,7.4,3.9
2450559,Maracaibo,Venezuela,10.6,-71.6
2448710,ASUNCION,Paraguay,-25.3,-57.6
2417325,Medellín,Colombia,6.3,-75.6
2405421,Nagpur,India,21.1,79.1
2399079,Yangzhou,China,32.4,119.4
2364230,Algiers,Algeria,36.8,3
2357838,Nanchang,China,28.7,115.9
2344507,Huizhou,China,23.1,114.4
2319684,Cali,Colombia,3.4,-76.6
2299026,Valencia,Venezuela,10.2,-68
2291158,Guayaquil,Ecuador,-2.2,-79.9
2279433,Nyanza Conurbation,Kenya,-0.7,34.7
2273326,Nantong,China,32,120.9
2271544,Bassorah,Iraq,30.5,47.8
2269862,Bamako,Mali,12.7,-8
2252288,Kumasi,Ghana,6.7,-1.6
2243833,Paris,France,48.9,2.4
2239464,Nagoya,Japan,35.1,136.9
2220624,Mossoul,Iraq,36.3,43.1
2199689,Xiangyang,China,32.1,112.1
2199590,Chittagong,Bangladesh,22.3,92.1
2195914,Houston,USA,29.8,-95.4
2192065,Greater Brisbane,Australia,-27.5,153
2137218,Tashkent,Uzbekistan,41.3,69.2
2136595,BAKU,Azerbaijan,40.4,49.9
2135201,Vancouver,Canada,49.3,-123.1
2125136,Zaozhuang,China,34.9,117.6
2105291,LA HABANA,Cuba,23.2,-82.3
2099328,Brisbane,Australia,-27.5,153
2070801,Baotou,China,40.7,109.8
2058328,"Taoyuan
","Taiwan
",25,121.3
2046189,Haikou,China,20,110.3
2038400,Yiwu,China,29.3,120.1
2029797,Medan,Indonesia,3.6,98.7
2027000,Amman,Jordan,32,35.9
2022867,Sana'a,Yemen,15.4,44.2
2020301,Manaus,Brazil,-3.1,-60.1
1980774,Hohhot,China,40.8,111.7
1975803,Jilin City,China,43.6,126.9
1960631,Indore,India,22.7,75.9
1953801,Putian,China,25.4,119
1925948,Luoyang,China,34.7,112.4
1922005,Douala,Cameroon,4.1,9.7
1907666,Ouagadougou,Burkina Faso,12.4,-1.5
1905570,Bursa,Turkey,40.2,29.1
1904319,Sapporo,Japan,43.1,141.4
1902500,Taizhou,China,32.5,119.9
1899999,Greater Perth,Australia,-32,115.9
1893063,Minsk,Belarus,53.9,27.6
1884284,"Tainan
","Taiwan
",23,120.2
1880000,Uyo,Nigeria,5,7.8
1870600,Yantai,China,37.5,121.4
1864416,Curitiba,Brazil,-25.4,-49.3
1858875,Nanchong,China,30.8,106.1
1837302,Hải Phòng,Vietnam,20.8,106.7
1834184,Perth,Australia,-32,115.9
1822640,Jiangmen,China,22.6,113.1
1818872,Thane,India,19.2,73
1811732,Nanyang,China,33,112.5
1798601,Tangerang,Indonesia,-6.2,106.6
1795648,Bhopal,India,23.3,77.4
1793197,Rawalpindi,Pakistan,33.6,73
1778583,Lu'an,China,31.7,116.5
1768947,Fuyang,China,32.9,115.8
1756126,Esfahan,Iran,32.7,51.7
1751696,Depok,Indonesia,-6.4,106.8
1747152,LUSAKA,Zambia,-15.4,28.3
1746342,Hamburg,Germany,53.5,10
1740041,Budapest,Hungary,47.5,19
1737517,Datong,China,40.1,113.3
1735500,Tai'an,China,36.2,117.1
1732047,Kampala,Uganda,0.3,32.6
1731236,Vienna,Austria,48.2,16.4
1730320,Visakhapatnam,India,17.7,83.2
1700612,Warsaw,Poland,52.2,21
1697976,Patna,India,25.6,85.1
1680000,DAMASCUS,Syria,33.5,36.3
1677985,Bucharest,Romania,44.4,26.1
1667000,Homs,Syria,34.7,36.7
1666826,Huainan,China,32.7,117
1666703,Vadodara,India,22.3,73.2
1664218,Beograde,Serbia,44.8,20.4
1655015,Ecatepec,Mexico,19.6,-99.1
1652171,Manila,Philippines,14.6,121
1649825,Daqing,China,46.6,125.1
1647642,Suzhou,China,31.3,120.6
1645675,Firozabad,India,27.2,78.4
1644783,KUALA LUMPUR,Malaysia,3.1,101.7
1620758,Mandalay,Myanmar,22,96.1
1619146,QUITO,Ecuador,-0.2,-78.5
1616063,Santa Cruz,Bolivia,-17.9,-63
1615717,Yancheng,China,33.4,120.1
1614626,Karaj,Iran,35.8,51
1613878,Ludhiana,India,30.9,75.9
1612300,Zhanjiang,China,21.2,110.4
1608488,Recife,Brazil,-8.1,-34.9
1607022,Harare,Zimbabwe,-17.9,31
1606745,Rajkot,India,22.3,70.8
1605602,Barcelona,Spain,41.4,2.2
1603700,Tengzhou,China,35.1,117.2
1600692,Yaoundé,Cameroon,3.9,11.5
1594829,Jiangyin,China,31.9,120.3
1591518,Adana,Turkey,37,35.3
1574542,Agra,India,27.2,78
1572000,Siliguri,India,26.7,88.4
1570791,Phnom Penh,Cambodia,11.5,104.9
1560229,Zhuhai,China,22.3,113.6
1555984,Semarang,Indonesia,-7,110.4
1553165,Philadelphia,USA,40,-75.1
1544084,Anshan,China,40.8,122.8
1530847,Kobe,Japan,34.7,135.3
1529400,Auckland,New Zealand,-36.8,174.8
1521600,Weifang,China,36.7,119.1
1518651,Daejeon,Republic of Korea,36.4,127.4
1513367,Phoenix,USA,33.6,-112.1
1511369,Novosibirsk,Russia,55,82.9
1510103,Changshu,China,31.6,120.7
1508000,Hama,Syria,35.1,36.8
1506156,Brazzaville,Republic of the Congo,-4.3,15.3
1495182,Guadalajara,Mexico,20.7,-103.3
1494998,Tabriz,Iran,38.1,46.3
1493874,Guigang,China,23.1,109.6
1489040,Caloocan,Philippines,14.7,121
1486973,Nashik,India,20,73.8
1485231,HARARE,Zimbabwe,-17.9,31
1481637,Qiqihar,China,47.3,124
1478733,Barquisimeto,Venezuela,10.1,-69.3
1472482,Porto Alegre,Brazil,-30,-51.2
1471978,Multan,Pakistan,30.2,71.5
1468906,Kyoto,Japan,35,135.8
1468061,Dengzhou,China,32.7,112.1
1466516,Gwangju,Republic of Korea,35.2,126.9
1462383,Cixi,China,30.2,121.2
1460665,Shiraz,Iran,29.6,52.6
1460000,Nsukka,Nigeria,6.9,7.4
1458536,Changde,China,29,111.7
1458036,Pizhou,China,34.3,117.9
1449296,Davao City,Philippines,7.2,125.5
1449284,Lome,Togo,6.1,1.3
1437802,Baoji,China,34.4,107.2
1437686,Suqian,China,34,118.3
1436599,Liuzhou,China,24.3,109.4
1434062,Puebla,Mexico,19.1,-98.2
1432844,Belém,Brazil,-1.3,-48.5
1431461,Kharkov,Ukraine,50,36.2
1430371,Fukuoka,Japan,33.6,130.4
1425606,Maracay,Venezuela,10.2,-67.6
1421834,Gujranwala,Pakistan,32.2,74.1
1420285,Ekaterinburg,Russia,56.8,60.6
1417567,Taizhou,China,32.5,119.9
1417082,Hyderabad,Pakistan,25.4,68.4
1412364,Goiânia,Brazil,-16.6,-49.3
1411380,Yichang,China,30.8,111.3
1409436,Bozhou,China,33.9,115.8
1409019,San Antonio,USA,29.5,-98.5
1408632,Conakry,Guinea,9.7,-13.6
1407836,Munich,Germany,48.1,11.6
1404653,Faridabad,India,28.4,77.3
1398427,Quanzhou,China,25.2,118.1
1392000,Al-Hasakeh,Syria,36.4,40.8
1391499,Maputo,Mozambique,-26,32.6
1380000,Port Harcourt,Nigeria,4.8,7
1376000,Idleb,Syria,35.9,36.6
1373630,Kawasaki,Japan,35.5,139.7
1372565,Stockholm,Sweden,59.3,18.1
1366800,Wenling,China,28.4,121.4
1365105,Almaty,Kazakhstan,43.2,76.9
1362062,Zigong,China,29.4,104.8
1356987,Fushun,China,41.9,124.5
1355896,San Diego,USA,32.8,-117.1
1355331,Mianyang,China,31.5,104.8
1354686,Patiala,India,30.3,76.4
1347298,Milan,Italy,45.5,9.2
1346708,Shantou,China,23.4,116.7
1346700,Heze,China,35.2,115.4
1345086,ULAANBAATAR,Mongolia,47.9,106.9
1342258,Palembang,Indonesia,-3,104.8
1341054,Gaziantep,Turkey,37.1,37.4
1333526,Chifeng,China,42.3,119
1329604,Córdoba,Argentina,-31.4,-64.2
1321609,Lubumbashi,Democratic Republic of the Congo,-11.7,27.5
1321004,Juárez,Mexico,31.7,-106.5
1312197,Guarulhos,Brazil,-23.5,-46.5
1310000,Kénitra,Morocco,34.3,-6.6
1309023,Meerut,India,29,77.7
1307042,Wuhu,China,31.3,118.4
1305082,MONTEVIDEO,Uruguay,-34.9,-56.2
1300983,Tijuana,Mexico,32.5,-117.1
1298500,Laiwu,China,36.2,117.7
1294168,Mekka,Saudi-Arabia,21.4,39.8
1293877,Haicheng,China,40.9,122.7
1290322,South Tangerang,Indonesia,-6.3,106.7
1290170,Yinchuan,China,38.5,106.2
1285995,Prague,Czech Republic,50.1,14.4
1278432,Greater Adelaide,Australia,-34.9,138.6
1267066,Rugao,China,32.4,120.6
1266231,Nizhny Novgorod,Russia,56.3,43.9
1257676,Dallas,USA,32.8,-96.8
1253687,Peshawar,Pakistan,34,71.6
1251095,Neijiang,China,29.6,105.1
1250795,Adelaide,Australia,-34.9,138.6
1248414,Zhangjiagang,China,31.9,120.5
1248000,Marrakech,Morocco,31.6,-8
1246381,Kalyan-Dombivali,India,19.2,73.1
1246381,Kalyan-Dombivali,India,19.2,73.1
1238962,León,Mexico,21,-101.3
1235476,Yixing,China,31.4,119.8
1234838,Fuqing,China,25.7,119.4
1232133,Yueyang,China,29.4,113.1
1230728,Copenhagen,Denmark,55.7,12.6
1229959,Xinyang,China,32.1,114.1
1229800,Liaocheng,China,36.4,116
1221233,Vasai-Virar,India,19.4,72.8
1217715,Maoming,China,21.7,110.9
1212000,MOGADISHU,Somalia,2,45.4
1206946,Barranquilla,Colombia,11,-74.8
1202761,Sofia,Bulgaria,42.7,23.3
1201900,Jiaxing,China,30.7,120.8
1201815,Varanasi,India,25.3,83
1200400,Zhenjiang,China,32.2,119.5
1198304,Xining,China,36.6,101.8
1197174,Tianshui,China,34.6,105.5
1194583,Makassar,Indonesia,-5.1,119.4
1192792,Srinagar,India,34.1,74.8
1192418,Saitama,Japan,35.9,139.6
1188000,El-Jadida,Morocco,33.2,-8.5
1187089,Cần Thơ,Vietnam,10,105.7
1178873,Huazhou,China,21.7,110.6
1172700,TBILISI,Georgia,41.7,44.8
1170485,Samara (Samarskaya oblast),Russia,53.2,50.1
1170000,Monrovia,Liberia,6.3,-10.7
1169829,Niamey,Niger,13.5,2.1
1168745,Kazan,Russia,55.8,49.1
1165182,Dingzhou,China,38.5,115
1163806,Hiroshima,Japan,34.4,132.5
1161561,Dhanbad,India,23.8,86.4
1158989,Chon Buri,Thailand,13.4,101
1158627,Omsk,Russia,55,73.4
1158625,Cotonou,Benin,6.4,2.4
1157900,Zhuji,China,29.7,120.2
1157891,Baoding,China,38.9,115.5
1154617,Campinas,Brazil,-22.9,-47.1
1154086,Jingzhou,China,30.4,112.2
1153860,Batam,Indonesia,1.2,104
1149829,Chelyabinsk,Russia,55.2,61.4
1146761,Anyang,China,36.1,114.3
1143078,Rizhao,China,35.4,119.5
1142483,Zapopan,Mexico,20.7,-103.3
1139400,Shouguang,China,36.9,118.7
1137000,Jodhpur,India,26.2,73
1136948,Ulsan,Republic of Korea,35.5,129.3
1135512,Monterrey,Mexico,25.6,-100
1135166,Hengyang,China,26.9,112.6
1132761,Amritsar,India,31.6,74.9
1131819,Yuzhou,China,34.2,113.5
1126790,Bazhong,China,31.9,106.8
1126345,Bat Dambang,Cambodia,13.1,103.2
1126306,SANTO DOMINGO,Dominican Republic,18.5,-70
1126000,Fès,Morocco,34,-5
1122555,Raipur,India,21.3,81.6
1120000,Abuja,Nigeria,9.1,7.4
1120000,Benin City,Nigeria,6.3,5.6
1119477,Navi Mumbai,India,19,73
1117094,Allahabad,India,25.4,81.8
1116700,Zoucheng,China,35.4,117
1115300,Jining,China,35.4,116.6
1113321,Huaibei,China,34,116.8
1112021,Ahwaz,Iran,31.3,48.7
1111000,Deir El-Zor,Syria,35.3,40.1
1104585,Nezahualcóyotl,Mexico,19.4,-99.1
1100091,Rostov-na-Donu,Russia,47.2,39.7
1098010,Suwon,Republic of Korea,37.3,127
1095404,Calgary,Canada,51,-114.1
1095189,Zunyi,China,27.7,106.9
1094294,Benxi,China,41.3,123.8
1091799,Jinzhou,China,41.1,121.1
1091733,Changwon,Republic of Korea,35.3,128.7
1089000,Dubai,United Arab Emirates,25.2,55.3
1086200,Zhucheng,China,30.9,114.8
1084420,Ufa,Russia,54.7,56
1082993,Samut Prakan,Thailand,13.6,100.6
1077300,Jinhua,China,29.1,119.6
1074300,Birmingham,United Kingdom,52.5,-1.9
1074036,Qom,Iran,34.6,50.9
1073921,Taixing,China,32.2,120
1064200,Zhangqiu,China,36.7,117.5
1064197,São Luís,Brazil,-2.6,-44.3
1061447,Coimbatore,India,11,77
1060138,Yerewan,Armenia,40.2,44.5
1055373,Zhuzhou,China,27.9,113.1
1054336,Jabalpur,India,23.2,79.9
1053505,Gwalior,India,26.2,78.2
1050080,Ciudad Guayana,Venezuela,8.3,-62.8
1049831,Lianyungang,China,34.6,119.2
1048672,Ezhou,China,30.4,114.9
1048240,Vijayawada,India,16.5,80.6
1047020,Xinxiang,China,35.3,113.9
1045370,Shubra El-Kheima,Egypt,30.1,31.2
1036027,Konya,Turkey,37.9,32.5
1034175,Cologne,Germany,50.9,7
1033975,Pingdingshan,China,33.7,113.3
1032048,Yingkou,China,40.7,122.2
1031903,São Gonçalo,Brazil,-22.8,-43
1029670,Qinhuangdao,China,31.3,121.5
1029552,Sendai,Japan,38.3,140.9
1028800,Linhai,China,28.9,121.1
1025244,Tripolis,Libya,32.8,13.1
1024906,Padang,Indonesia,-1,100.4
1023000,Settat,Morocco,33,-7.6
1022002,Bogor,Indonesia,-6.6,106.8
1022001,Guatemala City,Guatemala,14.6,-90.5
1018762,Volgograd,Russia,48.7,44.5
1016885,Madurai,India,9.9,78.1
1015140,Antananarivo,Madagascar,-18.9,47.5
1010295,Wuwei,China,38.1,102.8
1010000,Aba,Nigeria,5.1,7.4
1007654,Krasnoyarsk,Russia,56,92.9
1007285,Perm,Russia,58,56.3
1006749,Brussels,Belgium,50.9,4.4
1005570,Ndjamena,Chad,12.1,15.1
1005500,Hezhou,China,24.4,111.5
1005319,Maceió,Brazil,-9.6,-35.8
1005043,PANAMA DE PANAMA,Panama,9,-79.5
1004820,San Cristóbal,Venezuela,7.7,-72.2
1004741,Zaoyang,China,32.1,112.8
1004500,Naples,Italy,40.9,14.3
1003626,Xiangcheng,China,33.4,114.9
1003285,KATHMANDU,Nepal,27.7,85.3
1001318,Antalya,Turkey,36.9,30.7
1001000,Salé,Morocco,34,-6.8
999703,Seam Reab,Cambodia,13.7,104.1
998537,San Jose,USA,37.3,-121.8
998262,Mbuji-Mayi,Democratic Republic of the Congo,-6.1,23.6
997447,Voronezh,Russia,51.7,39.2
997189,Odessa,Ukraine,46.5,30.7
993468,Arbil,Iraq,36.2,44
990558,PORT-AU-PRINCE,Haiti,18.5,-72.3
990025,Dnepropetrovsk,Ukraine,48.5,35
988000,Kaduna,Nigeria,10.5,7.5
987007,CAPE TOWN,South Africa,-33.9,18.4
986998,Kitakyūshū,Japan,33.8,131
985143,MANAGUA,Nicaragua,12.1,-86.3
980000,Béni-Mellal,Morocco,32.3,-6.4
979412,Seongnam,Republic of Korea,37.4,127.1
978600,Cartagena,Colombia,10.4,-75.5
975638,Guilin,China,25.3,110.3
972784,Bengbu,China,32.9,117.4
972525,Qidong,China,31.8,121.7
967020,Chiang Mai,Thailand,18.8,99
966393,Santo Domingo East - Santo Domingo Este,Dominican Republic,18.5,-69.9
965154,Mudanjiang,China,44.6,129.6
963429,Guwahati,India,26.1,91.7
961451,Goyang,Republic of Korea,37.7,126.9
960787,Chandigarh,India,30.7,76.8
960646,Donetsk,Ukraine,48,37.8
960418,Danyang,China,32,119.6
960015,Edmonton,Canada,53.5,-113.5
959303,Xiangtan,China,27.9,112.9
957634,Bangui/Zongo,Central African Republic,4.4,18.6
953253,El Alto,Bolivia,-16.5,-68.2
951000,Lattakia,Syria,35.5,35.8
950017,Kayseri,Turkey,38.7,35.5
948312,Rosario,Argentina,-33,-60.7
947499,Wuchuan,China,21.4,110.8
946600,Feicheng,China,36.2,116.8
945420,Xianyang,China,34.3,108.7
944050,Linfen,China,36.1,111.5
943857,Hubli-Dharwad,India,15.4,75.1
941427,Handan,China,36.6,114.5
938695,Chiba,Japan,35.6,140.1
936789,Hengyang,China,26.9,112.6
933596,Ottawa–Gatineau,Canada,45.5,-75.7
930000,Dra'a,Syria,32.6,36.1
928592,Freetown,Sierra Leone,8.5,-13.2
920610,Xinyi,China,22.4,110.9
918889,Medina,Saudi-Arabia,24.5,39.6
915000,Tanger,Morocco,35.8,-5.8
908200,Weihai,China,37.5,122.1
907598,Haimen,China,31.9,121.2
904165,Soweto,South Africa,-26.2,27.9
899000,Safi,Morocco,32.3,-9.2
898530,Yongin,Republic of Korea,37.2,127.2
897135,Amroha,India,28.9,78.5
896057,Kaifeng,China,34.8,114.3
894440,Mombasa,Kenya,-4,39.7
889810,Moradabad,India,28.8,78.8
887069,Đà Nẵng,Vietnam,16.1,108.2
885400,Austin,USA,30.3,-97.8
884456,Bishkek,Kyrgyzstan,42.9,74.6
883800,Shaoxing,China,30,120.6
881711,Jiamusi,China,46.8,130.4
878402,Duque de Caxias,Brazil,-22.7,-43.3
877682,Suihua,China,46.6,127
876824,Gurgaon,India,28.5,77
872662,Bucheon,Republic of Korea,37.5,126.8
872575,Aligarh,India,27.9,78.1
872478,Solapur,India,17.7,75.9
868066,Langfang,China,39.5,116.7
866171,Cebu City,Philippines,10.3,123.9
865356,Jiaozuo,China,35.2,113.3
865263,Turin,Italy,45.1,7.7
865000,Al-Raqqah,Syria,36,39
863536,Kigali,Rwanda,-2,30.1
863495,Ranchi,India,23.3,85.3
862196,Jalandhar,India,31.3,75.6
862044,Natal,Brazil,-5.9,-35.2
861181,Krasnodar,Russia,45,39
858437,Tegucigalpa,Honduras,14.1,-87.2
852807,Arequipa,Peru,-16.4,-71.5
851405,Kermanshah,Iran,34.3,47.1
850726,Marseille,France,43.3,5.4
846915,Tiruchirappalli,India,10.8,78.7
846871,NOUAKCHOTT,Mauritania,18.1,-16
843460,Diyarbakır,Turkey,37.9,40.2
843429,Mersin,Turkey,36.8,34.6
843393,Indianapolis,USA,39.8,-86.1
843120,Campo Grande,Brazil,-20.4,-54.5
843000,Zhoushan,China,30,122.2
842583,Jacksonville,USA,30.3,-81.7
840600,Teresina,Brazil,-5.1,-42.8
838321,Saratov,Russia,51.5,46
837737,Bhubaneswar,India,20.3,85.8
837442,San Francisco,USA,37.8,-122.4
836383,Yibin,China,28.6,104.8
835361,LA PAZ,Bolivia,-16.5,-68.2
835333,Sakai,Japan,34.6,135.5
834881,Denpasar,Indonesia,-8.7,115.2
831038,Salem,India,11.7,78.1
822553,Columbus,USA,40,-83
820243,Malang,Indonesia,-8,112.6
819429,Warangal,India,18,79.6
814655,Mira-Bhayandar,India,19.3,72.9
813053,Niigata,Japan,37.9,139.1
811490,Khulna,Bangladesh,22.8,89.6
811489,São Bernardo do Campo,Brazil,-23.7,-46.6
811431,Hamamatsu,Japan,34.7,137.7
809232,Chihuahua,Mexico,28.6,-106.1
809112,JERUSALEM,Israel,31.8,35.2
807129,Zamboanga City,Philippines,6.9,122.1
806177,Nova Iguaçu,Brazil,-22.7,-43.5
805304,Valencia,Spain,39.5,-0.4
803329,Oran,Algeria,35.7,-0.6
801542,Amsterdam,Netherlands,52.4,4.9
800970,Songkhla,Thailand,7.2,100.6
798364,Dandong,China,40.1,124.4
797739,Nonthaburi,Thailand,13.9,100.5
796947,Doha,Qatar,25.3,51.5
794431,Islamabad,Pakistan,33.7,73.1
792862,Charlotte,USA,35.2,-80.8
792727,Fort Worth,USA,32.8,-97.3
792211,Naucalpan,Mexico,19.5,-99.2
790057,Bandar Lampung,Indonesia,-5.4,105.3
790017,Zagreb,Croatia,45.8,16
788000,Meknès,Morocco,33.9,-5.6
787177,Panzhihua,China,26.6,101.7
784398,Biên Hòa,Vietnam,11,106.8
783032,Vientiane,Laos,18,102.6
780738,João Pessoa,Brazil,-7.7,-35.7
780514,Anqing,China,30.5,117
779975,Puente Alto,Chile,-33.6,-70.6
777682,Huludao,China,40.8,120.8
777615,Mérida,Mexico,20.9,-89.7
776873,Trujillo,Peru,-8.1,-79
776093,Pointe Noire,Republic of the Congo,-4.8,11.9
775255,Port Elizabeth,South Africa,-34,25.6
773496,Souleimaniye,Iraq,35.6,45.4
768551,Hamhung,Democratic People's Republic of Korea,39.9,127.5
766736,Zaporozhye,Ukraine,47.8,35.1
766000,Ilorin,Nigeria,8.5,4.6
766000,Taza,Morocco,34.2,-4
764571,Huangshi,China,29.9,115
759894,Quetta,Pakistan,30.2,67
759000,Nador,Morocco,35.2,-2.9
757933,Santiago de los Caballeros,Dominican Republic,19.5,-70.7
757611,Kraków,Poland,50.1,19.9
757175,Pathum Thani,Thailand,14,100.5
756700,Dongying,China,37.4,118.7
756143,DUSHANBE,Tajikistan,38.5,68.8
756000,Tartous,Syria,34.9,35.9
753194,Shaoyang,China,27.2,111.5
752490,Thiruvananthapuram,India,8.5,76.9
752349,Johannesburg,South Africa,-26.2,28
751500,Leeds,United Kingdom,53.8,-1.5
751225,Lvov,Ukraine,49.8,24
744321,Dammam,Saudi-Arabia,26.4,50.2
743715,MRT,Mauritania,18.1,-16
741531,Ma'anshan,China,31.7,118.5
740925,Qujing,China,25.5,103.8
740369,La Plata,Argentina,-34.9,-58
738128,Yingkou,China,40.7,122.2
735241,Riga,Latvia,57,24.1
728892,Łódź,Poland,51.8,19.5
727511,Arusha,Tanzania,-3.4,36.7
727500,Samarinda,Indonesia,-0.5,117.2
726649,Kananga,Democratic Republic of the Congo,-5.9,22.5
726075,CHIŞINĂU (KISHINEV),Republic of Moldova,47,28.9
722772,San Luis Potosí,Mexico,22.6,-99.1
722250,Aguascalientes,Mexico,21.9,-102.3
720979,Athens,Greece,38,23.7
719363,Tolyatti,Russia,53.5,49.4
