Latitude,Longitude
48.4,21.8
31,-93.2
51.6,5.4
40.8,-4.4
50.8,20.6
51.4,4.8
50.6,-1.2
52,16.4
52.6,-0.6
29,119.8
19.4,-81.4
45.6,11.6
63.8,20
53.4,-1.4
24.8,113.6
25.2,-100.8
28.4,77
39.2,-78
50.6,3.4
44.8,3.8
53.6,34.2
50.2,3.6
51.2,-2.8
53.6,19.8
47.2,17.4
43.2,-79
45,5
50,1.8
48.2,11.4
29.2,121.6
52.4,15.4
-32.4,-57.2
57.4,48.8
56,13.2
43,1.4
49.4,6.4
47.4,8.4
44.8,18.6
31.6,35.8
43.2,1.2
47.6,1.2
54.2,-5.8
50.2,3
-34,151.2
-3.8,-44
45.6,13.8
-32.2,25.6
69.8,21
51.6,11.6
42.8,-6
42.8,1
36,-79.8
50.8,6.8
49.2,20.4
60.6,30.2
53.2,-106.4
45.6,11.4
29.2,-82.2
47,4.8
44.4,-97.6
44.6,2
38.2,140.8
51.2,3
33.2,47.4
48.4,21.4
43.6,3.4
54.8,9.8
-31.6,150
4.6,7.2
20,-99
54.2,24.4
50,8.6
42.2,-71.2
-23.8,-70.4
40.6,14.4
46.8,15.8
46.8,14.4
8,123.8
33.8,71.4
53.4,20
35.2,132.4
37.6,-95.6
46.8,14.8
-27.8,153
48.8,8.6
40.6,-74.4
47.4,5.6
49.6,11.4
10.6,-61.4
42.8,0.2
35.2,-97.4
49.6,43.2
-19.8,-45
42.2,-8.6
-15.8,-55.4
40.4,-81.8
48.8,1.2
48.2,10
49,21
38.4,-120.2
48.4,-1.8
50.6,11.4
31,119.8
28.8,-99.6
62,23
50,21.4
46.8,-71.2
50.6,7.4
50.4,5
59,36.6
46.2,5.8
50.2,24.2
46,-98.6
50.4,-103
-30.8,121.4
-17.2,-47
49.8,5
54.2,21.4
38,23
13,5.8
58.8,57.6
44,-123.2
60.6,25.2
53.4,-2.6
48.8,1
-37.2,174.8
-37.6,145
46.6,23.6
39.8,-0.2
49,17.2
50.6,13.2
51.2,9.4
43.2,27.8
50,14
51.8,16.4
45.2,3.8
48.2,20
18,-63.2
42.2,24.6
53.8,14.8
60,5.4
48.2,137.2
52,-0.8
37.6,14.8
53.8,13.2
36.2,-103
5.2,100.2
-22.8,-43.6
47.2,8.6
50,9.2
4.4,-74
38.2,-5.6
52,1.4
57,60.8
54.2,20
43.8,12.4
50.2,6.2
55.4,10
54.2,10.8
44.6,9.6
32.6,120
21.2,-98.6
-27.4,133.2
57.4,10
37.8,-1
48,-4
45.6,-91.4
55,83.8
35.4,139.4
41,-8.4
50.6,1.6
49.8,-97.4
46.4,3.4
-21.4,-42.2
36.2,-80.6
33.4,-90
-45.8,168.8
43.4,-3.4
38.8,-104.8
38.8,-0.2
39.4,-8.8
52.4,7.8
26.6,118
51.2,22.6
53,8
48,4.8
25.8,118.8
64.8,26.6
52.8,21.2
46.8,-79.6
51.2,13.2
45.4,7.8
39,-9.4
-33.6,-55.2
-25.2,-53
48.8,16
-4.4,-79.6
57,-117.6
58.4,35.2
39.8,-75.4
52.6,22.6
44.8,2.4
41,-3.8
-2.8,-70.2
-5.6,-35.8
47.6,10.4
9.6,106
58.4,16.4
40.4,-3
-15,-39.4
43.4,1.8
25.6,-98.8
49,7.2
41.8,13.2
48.6,6.4
62.2,23
54,13.4
55.8,36.6
47.2,7.6
22.6,-103
43.6,-6
60.6,46.2
44.2,-70.4
40.2,-7.8
68.6,15.8
41,-8.6
47.8,14.2
-28.6,-51.8
50,8.2
36.6,59
46.2,27.6
51,11.6
41.4,23.8
32.4,36
56.2,28.8
33.6,69.2
-35,-71.2
26.2,80.2
49.6,0.6
35,-84.2
50.8,12.8
60.4,25.8
-13.2,-39
50.8,14.4
48.6,7.6
51,19.4
55,-6.6
48.4,15
19.6,-101.8
42.6,-83.8
46,12.4
60.4,17.6
12,-86.2
40.4,-91
54.2,13.4
50.6,-3.8
56.4,31.8
49,-117.8
50,19.4
64.6,18.4
35.6,138.6
61.4,24.2
15.4,100
19.4,-99.6
36.2,-86.8
47.8,19.2
49.8,9
58.4,7.4
49.8,10.6
40.6,8.6
45.6,2
40.4,-79.2
62.4,30.6
53.6,-0.4
35,-108
56.6,37.2
53.6,10.4
50.2,7.2
18.6,-69.6
29.2,76.6
50.8,19.6
46,12.8
33.8,35.6
58.2,11.8
49.4,4.2
54.6,17.6
6.2,5.4
28.6,77.2
-20.8,116.8
18.8,-99
46.6,-113.6
36.8,10.6
48.6,-123.4
42,11.8
40.8,15.2
7.6,-62.8
37,27.2
-8.4,114.6
54,13.8
44.8,8.6
48.4,1.2
50.6,-114
41.6,-70.8
58.6,29.8
60.4,15.8
39.4,-79.2
41,-89
-7,107.6
41.8,-8.2
42.4,-85.6
36.6,126.8
43.2,0.2
47.4,19.8
47.4,6.4
35.6,0.2
47.4,12.4
58.8,16.6
50.6,5.8
54,-6.8
36.6,-3.8
31,-88
30,77.2
55.2,8.8
46.8,10
52,0.4
50,15.6
46.6,-119
42.8,10.4
14,108.2
51.4,6.6
45.4,3.4
48.8,9.8
52,0.6
50.2,13.6
37.6,40.4
-35.8,146.4
50.6,7.6
38.2,-4.4
46.4,4.6
47.8,10.8
-12.2,27.6
54.2,37.8
34.4,-85.2
52.8,14
42.2,26.6
5.4,6
47.4,7.8
39.8,-3.4
54,16.4
53.6,11.6
49.4,16.4
61.8,27.2
-35.8,-61.8
52.8,23
47.4,8.6
46.8,14
27.2,110.6
36.8,-90.4
43,2.6
52,18.2
44.6,-1.2
47.6,-117.4
-28.2,151.8
53.2,6.4
45,-105.4
-17,145.8
42.2,-8
42.4,143.4
54.2,12
-12,-39
47.2,5
49.2,1.2
58.4,11.2
55.4,102.2
48.2,8.2
51.8,12.8
47.2,14
51.8,7.4
-8.6,-35.8
52.6,8.8
-12.8,-42.2
44.8,0.8
49,7.8
53.2,0
45,131.6
34,112.8
25.4,119
36.4,46.2
53.4,19.8
40.8,-74
51.2,3.8
43.6,-0.8
45.2,13.6
41.2,-89.2
53.8,12
11,106.4
51.6,-0.2
48,-0.4
37,127.4
42,-84.6
13.2,123.8
41.2,1.8
39.6,-81.6
45.2,8.6
-7.8,113.8
50.6,23
-33.4,151.4
59.4,11
55.6,11.4
14.8,108.8
56.6,37.8
40.4,-5.6
47.8,12
38,-2
53.2,26.2
24,120.6
22.2,88.2
56.2,8.6
52.8,22.4
54,19.2
45,19
32.8,-97.4
46.4,11
37.6,15
9,-79.8
-35.2,143.2
43.8,10.4
53,6.2
9.2,-83.8
47,10.2
-30.2,-62.2
44.6,-0.2
44,-91.6
41.4,-73
44.4,10.8
45,-0.4
1.8,9.8
52,20.8
41.8,-88.2
44.4,-0.2
0.4,33.2
46,4.2
52.6,20.6
50.2,31.4
19.4,-99.2
47.8,11.6
41.8,2.4
51.4,-0.6
35.8,113.8
51.6,0
44.2,4
46.2,16.2
48.4,9.2
14.8,-91.8
52.8,-1.6
48.8,20
50.2,18.2
45.8,-116.2
63.4,12
52.6,14.4
48.2,18.2
51.2,15.8
52.4,4.6
40,40.6
51.6,22
40.6,-77.6
56.8,10
47.4,8
-27.6,-59
47.8,12.2
51.4,12
-34.2,136.2
37,-107.8
52.4,20.6
19.8,105.6
38.6,41.6
45.4,3.6
49.8,18.8
32.6,65.8
-27,-49
42,9
48.2,13.2
47,11.4
47.6,-0.8
40,-88.4
-33.4,-62.2
36.8,35.2
36.4,-6.2
43,-4
29.6,115.8
54,-2.4
51.6,18.8
55.4,14.2
41.4,-93.4
34.6,-87
48,6.6
55.4,8.8
36.4,-85.8
34.6,127
52.6,6.2
40.4,-74.8
9,-79.6
-26.4,27.4
52,4.6
63.2,17.2
49.6,1.6
-19.2,-46.8
38.4,-2
51.4,11
52.8,12.6
25.4,-100
51.6,5.2
46,3.2
50.2,3.2
21.2,-102.2
-30,-71.2
47.8,7.8
41.6,-2
49.6,8.8
15.8,75.6
41.2,-1.6
1.6,15.8
-20.8,-47.8
49.8,5.8
40.2,-82
41.8,13
46,13.2
50.4,20.8
52.2,10.4
43.6,43.8
47.2,10
49,11.6
55.2,29.8
57.8,47
50.2,2.8
55.2,-5
18,-77
14.6,120.6
40.8,-79.8
47.4,12.2
10.6,76.2
40.4,15.8
38.2,15.6
-37,145.2
56.6,14.2
35.4,-0.4
53.6,9.8
50.4,3
42.6,18.2
48.4,20
52.8,8
49.6,-1.8
57.4,60.8
46.4,7
25.4,113.8
48.8,9.4
54.4,45.2
54,12.8
28.8,116.4
47.6,11
28,69.2
57.4,26
50.2,8
38.8,-90
45.2,27.4
18.6,-99
54.8,-2.2
36.8,28.8
42.8,70.2
49.2,16.2
47.4,19
41.4,-8.8
30.4,105.4
49.6,-56.2
29.8,120
50.2,-5.4
45.2,25.6
44.4,-75.4
42.6,25.6
41.2,13
47.8,7
46.8,28.4
30.4,-88.2
60.6,22
52,9.8
45.8,14.6
65,18.6
49,25.4
41.2,-83
38.2,-3
46.6,17.4
46.4,25.2
31.2,120.6
29.4,-98.6
48.4,14.8
44.8,-0.8
32.2,-8.8
22.4,114.2
34,48.4
45,0.6
39.8,37.8
51.4,7
48.2,15.8
58,56.2
48.8,9.2
51.2,36.2
41,29.4
53.4,14
47.8,8
59,14.4
49.6,21.2
51.4,42.8
47.2,17.2
49.2,24.2
36.8,-92.4
53,-3
48,13.4
35.6,-86
52,13.6
49.6,2.6
48,0.2
52.8,5.6
50.8,20.4
53.2,10.4
51.4,-3.2
-35.6,149.8
22.8,74.2
39.8,-99
20.8,-87
40,-8.8
48.8,43.6
65.4,27.6
12.4,99.8
45,12
55.4,-4
38.6,114.8
46,16.2
58,12.4
40.8,-8.4
-29.8,30.8
34.8,32.8
40.8,27.4
43.4,24.8
49.8,14.6
47.2,0.8
62.2,-7
6.8,80.8
48,1.8
33.6,-88.4
49.2,7
-38,145
54,31.8
43.2,-9.2
44.8,12.4
19.6,73.6
36.4,-87.6
48,8.6
39,-9.2
39.6,22
55,82.4
45.6,-0.2
55.6,-1.8
51.4,24.8
48,12.2
25.8,-80.4
46.8,15.2
34.2,134
30,76.8
47,5
34.8,136
40.4,-7.6
43.4,-80.6
15.2,-90.2
38,15.4
3.6,-76.4
51.2,-1.8
53.4,-1.8
26.6,109
-25.8,28.2
52.6,7.8
39,-88.4
51.4,-0.2
39.4,8.6
48.8,2.2
53.2,16.2
43.8,-0.6
54.8,25.2
52.2,20.8
43.2,-0.8
55,12
53,18.4
-38.8,143.6
54.2,18.6
47.8,-0.8
27.6,93.8
52.2,-2
-38.4,146
45.2,3
38.8,39.2
5.6,102.8
26.6,85.6
53.6,13.8
46.2,42.2
32.6,-105.6
46.4,16
44.6,-116
-6,-44.2
44,11.2
9.4,-84.2
41,-5.8
34.4,-89.6
-6.4,106.8
-36.2,140.4
49.2,19
51.2,13.4
59,15.4
53.8,13.8
57,50
45.2,133.4
15.4,121
44.4,6.2
49.2,13.6
25.2,79.6
47.2,23.2
44,10.8
35.4,2.8
45.8,21.4
54.6,-1.4
37.6,-7.2
49.8,3.6
43.6,4
47.2,5.2
-30,-50.8
49.4,7.2
48.4,11.6
25.2,-76.2
45,2.4
-29,23.2
60.2,15.2
16.6,-15
42.8,9.4
53.6,-113.4
56,13.8
38.4,140.2
46.4,16.4
45.6,3.2
44.8,20.2
51,22
52.6,16.2
38,20.4
58.8,15.2
34.6,-99
53,-6.2
30,31.2
52,4.2
53.4,6
-14,-171.8
47.8,-3.2
51.8,9.2
25.2,82.8
38,-87.2
37.2,-91.4
65.2,-152.2
9.4,-67.8
51,11.2
-31.6,116.6
53,-7.6
59,11
47.8,17.6
38.8,-77.2
60.2,24.8
33.8,-80.8
42.2,14.2
50.2,11
44.8,38.6
54.6,36
50.8,16
-34,18.4
56.8,13.2
49.2,16
49.8,10.2
50,19.8
50.8,1.8
51.4,3.6
37.8,-111.6
46.6,21.2
47,7.6
46.8,13.6
-7.2,111
51.6,-0.4
38.8,-0.6
36.8,-2.6
47.4,20
40.8,-76.2
34,114.4
45.6,3
55.8,55.2
52.8,-0.6
45.6,22
48.4,-3.8
47.2,16
50.8,4.2
45,3.8
-36.2,-72.8
58.2,11.4
47.8,6.2
54.6,8.4
14.8,-88.2
30.2,-98
44.6,4.4
50,18.2
33.6,-87.2
49.2,3.6
41,14.8
42.6,-78.4
43.4,-3.8
45.6,17
43.4,-1
51.8,-4.6
-31.2,138.4
42.4,13.2
-27.8,152.6
47.6,0.4
48.8,22
42,-71.6
53.8,16
51.8,7.8
42.4,-3.2
39.4,-76.8
49.4,0.4
50.4,22.6
43.8,15.6
60.2,24.6
38,41.8
40.8,-80.2
-38.2,147
34,-91
51,21.8
45.8,13.6
39.4,-105
40.4,-100.4
46.2,12.2
25.2,-108.6
-36.8,149.6
35,138.8
46,4
38.8,-96.8
6,-1.8
45.4,9
25.4,-101
45.2,2.2
49,15.4
58.4,5.6
45,41
-12.2,-39.4
55.2,34.2
46.4,-94.8
30.8,-83.2
35.4,6.4
45.2,11.4
43.2,13
37,-5
45,-63.4
50.6,21.2
40.8,14.4
56,9.8
13.6,107
43,-92.4
53.4,-1
49.2,12.2
46,6.6
43.6,-79.6
51.8,-1.2
27.2,68.6
45.8,12.6
40.2,-8.4
45.8,11.2
14.8,-91.6
54.6,9.4
43.6,10.8
50,18.4
38.6,-120.6
44,5.2
51.2,14.6
43.6,1.8
8.4,124.8
56.4,-3.8
57.2,65.2
47.6,1.4
48.4,16
47.8,6.6
45.8,4.4
51,17.2
-6.2,106.6
43,131.8
54.2,11
49.6,8
51.8,-0.2
60.8,21.6
32,34.8
59.4,8.8
45.8,-0.8
-33.6,-60.8
51.2,14
50.4,18.4
-27.4,153.2
13.6,101
13.6,123.2
34.8,-79.8
39,16.6
47.8,84.2
44.8,25.6
-23.6,-47
28.4,-82.6
46.6,15.4
-31,152.8
48.2,12.8
50.8,11.8
49,1.8
53.8,-2.4
54.2,13
31.6,34.8
41.8,-88.4
52.4,67
40.8,13.8
14.2,121
-8.2,-49.4
-29,-50.4
46.2,8.6
45.8,9.4
28.8,120
49.6,16.2
49.2,10.6
46.2,4.2
50.8,9.2
50,18.6
52.4,50.8
3,101.4
41.4,-123
47.2,-98.4
47.8,12.8
50.8,13.2
42,-4.6
52.2,0.4
20.8,-103
55,9.6
-43.6,172.6
43,17
50.6,12.6
49.4,8.8
38.8,-80
39.8,32.8
50,4
34,-118.2
51.2,6
44,15.4
22.8,-103.2
35,128.2
8.8,4.8
-7.8,110.2
17.8,-92.6
46.6,8.8
46.6,7.6
57,-3.2
44.4,25.8
54.2,-4.8
47.2,-1.4
51.8,19.4
49.4,1.8
32.8,-94.2
56.6,27.2
44.6,-63.6
49,18.2
47,7.4
50,7
41,0.8
-34.4,18.8
51.8,-3
42.4,12.6
54.6,18.2
57,15.2
50.2,23.2
49.6,128.8
55.8,46.2
-0.6,-80.4
52.6,4.8
32.2,107.2
41.4,-8.6
16.4,79.8
47.8,11.8
-25.2,152.2
44.6,23.2
45.8,5.4
47,-2.2
49.8,23.8
45.2,11.2
50.8,-1
57.4,50.4
26.2,-80.2
45.4,11.2
35.2,-85.2
60.2,19.6
32.6,-89
-3.6,-42
53.2,-6.4
33.8,10.8
42.6,-6.8
45.8,7.6
49.8,-119.6
-13.8,-41
49,6.6
33.4,-112
59.4,10.2
59.2,15.4
-35.2,138.4
55.8,-2.6
50.2,20.8
55.8,14
47.6,12.8
47.8,-56
16.2,107.8
45.6,8.8
46,14.6
49.4,6
53.4,13.2
50.8,5.6
-29.6,-55.2
51.6,-2.4
51.4,14.2
50.8,4.4
-23.6,-47.6
51.4,8.2
60.6,26.6
50.4,9.8
47.2,7.4
43.8,-79.4
37.4,-4
-7,-36.4
48.8,17.4
50.4,3.4
52.2,-6.6
55.2,-1.8
46.2,22.6
41.6,-80.8
38.2,-120.6
60,9.8
49.2,1.8
48.8,10.4
39.8,-75.8
60.6,25
46.6,14.6
57,23.8
45.4,-74
45.2,38.2
43.4,13.4
48,14.6
50.6,5
52.4,-9.2
50.8,15
49.8,21.6
37.8,-122.2
44.4,-92.4
50.2,-5
46.2,-97.6
13,80.2
50.8,-3.2
40.2,-74
18.4,-98.6
42,-78.2
45.8,130.4
-28.4,152.8
64.4,12.2
19.2,-99.6
61,14.4
51.4,13.6
44.4,-67.6
46.6,14.8
50.8,12
65.8,23.2
37.8,-4.8
36.8,-78
14.4,-4.2
21,105.8
-27.4,-53
22,-102.2
50.6,14.8
45,-123.2
48,2.8
50.6,4
52.2,12.8
44.4,9
46.2,-63.6
21.2,81.4
44.8,-73
44.2,10.4
41.2,-7.8
48.6,13.8
41.8,14.2
19.4,-70.6
31,77
43.2,-8.4
44.8,1
34.8,126.4
47,10.6
10,-84
10,123.4
49.6,3.6
48.8,20.2
50.2,3.4
46,2.8
38.4,-90.2
44.4,0.2
42.6,13.6
-31,124.2
45.6,3.4
53.2,19.8
7.4,4.2
-32.8,-58.8
50.2,3.8
43.4,-0.2
45.6,-62.6
47.4,4
50.6,7.8
11,124.6
19.4,74.8
49.4,3.2
45.4,34.2
-22.2,-48.8
35.6,140.4
-31.4,116.4
10.8,106.6
35,-96.8
41.4,2.2
51.4,18
8.8,-79.8
59.6,17.8
51,1.8
40.8,-73.6
34.8,-95.8
49.4,16
44.6,0.8
43.8,4
53.8,-1.6
37,-88.4
61.2,16.8
48.6,9.6
55.2,-6.4
50.8,19.8
39.4,-6.6
62,16.4
55.8,23.2
34.6,60
34.8,135.4
46.8,5.6
50.4,5.6
50.8,22
-1.6,-45
48.2,-101.4
51,11.4
47,20.2
-42.6,147
34,101.8
53.6,22
60.6,5
47,5.8
48.6,7.2
48.6,2.2
57,25
49.6,17.4
45.4,9.2
36.8,-2.4
40.6,-3.4
41,43.6
50.4,15
59,46.6
48,17.6
27.8,118.6
54.8,10.6
50,5
54.2,9
49.2,13
42.6,-4.4
53,0
57.8,13
45.6,4.6
40.8,-83.2
40,15.8
40.6,30.2
51.4,21
63,8.2
47.2,9.8
33.2,-85.8
20.4,-99.2
57.8,42.2
3.8,102.2
47,16
50.4,19.2
-24.2,29.2
60.6,30
51,12
38.2,15.2
34.2,135.2
54.2,21
-2.8,115.2
-18.6,-43.4
46.6,0.8
50.2,19.4
45.8,17.2
52.6,1.2
45.2,-0.2
42.4,2
64.6,-163.8
40.6,-5
46.6,6.6
33.2,-116
26.8,82
42.6,27.6
47.2,1.8
40.2,15.2
44.2,17.8
40.8,-121.6
41,-81.2
49,13.8
34,131.2
47.6,-122.2
40.8,8.8
51.2,5.8
44.6,10.2
49.6,18.8
48.2,17.4
32.6,-97.6
45.4,10.8
38.8,-77
51,5.8
49.4,2
47.4,0.6
49.6,17
36.6,3
17.2,106.8
45.4,38.8
39.6,-8.2
31.6,34.6
56,-5.4
37.8,27.4
51.4,11.4
52.4,39
43.2,-79.2
59.4,5
43,0
51.2,19
49,6.8
50.4,12
1.2,103.6
52.6,12
48,17.2
53.2,6.8
46,18.4
-22.4,-47.8
52.8,19.2
48.2,2.4
48.6,12.8
40.8,-73.8
40.2,-7.2
47.2,15.6
43.2,-0.6
49.8,17.2
44.8,13.8
-35.4,143.6
45.6,5.4
36.4,139.8
59.2,9.6
52.2,16.2
53.2,19.2
49,9.4
50.2,12.8
43.2,5.4
42.6,3
59.2,10.2
-22.4,143
47.2,33
33.8,-118
38.6,-90.8
48.6,4.8
24.4,120.6
-19.4,147
18.6,-97.6
51.2,4
6.4,3.4
36.2,51.8
23.6,113.8
55.8,24.2
46.8,-1
51.4,7.4
45,38.6
51,23.8
44.6,1
41,-8
40.4,-5.4
46.2,18.4
50.2,18.8
-27.6,153
40.4,-120.4
39.6,-93.8
49,0
53.6,18.6
43.4,11.2
39.6,-5.6
55.2,-4.8
48.8,15.2
40.2,-76.6
48.6,13
48.8,19
49.4,7.8
-23.6,-46.8
43.4,-90
39.8,16.2
43.2,0.6
53.2,17
34.6,135.4
50.8,17.8
52,4.4
23.6,120.4
37.4,-81.4
-36.8,146.4
51.6,46.4
36.6,3.4
48.4,15.4
32.2,106.2
49,6
50.6,5.4
26.6,109.6
50.8,5
49.8,9.4
6.2,100.2
41,-74.2
47.6,10.6
50.6,3.8
-38.6,146.4
47,9
14.4,121
49.8,5.2
-26,144.6
19,72.8
51.6,21.8
52.6,41.6
53.4,-3
49.2,17.2
52.2,15
48.2,13.6
48.4,1.8
52,10
-26.2,28
48,11
59,9.6
18.4,-70
49.4,4.4
46.8,16
48.4,14.2
52.4,-113.2
41.4,1.8
45.6,2.2
58.4,49.8
50.8,11.2
19.4,-98.2
21.6,103.4
55,-1.6
45.2,5.2
51.2,5.4
44,0.4
49.2,0.8
53.6,10
-12.8,45
32.4,-97.2
28.2,83.6
42.6,131
-7.6,112.2
36.8,-5.6
40.4,17.4
26.8,114.2
30.6,-99.6
53.2,14.8
52.4,-8.4
-28.8,153.2
37.6,27.2
15.4,75
44,2.4
59.6,46.2
33.6,-90.2
54.8,8.8
47,-93
52,-7.4
-7.8,110.8
-39.6,176.8
24.6,-81.8
38.8,-90.2
33.2,-117.4
45.2,128
58.2,31.2
49.2,11
46.2,4.4
39.2,-77
57.2,12.2
50.4,10.2
40.2,-77.2
-30,146.8
46.8,6.4
44.6,9.8
30.6,111.2
32.8,110.4
48.2,4.2
14.2,100.4
38.2,-3.8
34.4,-119.4
62,27.8
48.4,2.2
56.2,40
47.6,9.8
-33.4,149.8
-2.2,-80
50.2,2.4
48.6,-123.6
39.4,-86
58.2,26.4
46.2,-123.4
60.2,19.8
40.6,-6.2
49.2,20.8
46.8,7.2
50.2,7
50.8,-2.2
47,17.6
48.6,13.6
41.2,-83.6
53.8,10.4
50,11
42.4,-2.8
62.4,12.6
47.8,11.2
57.4,-5.4
48.8,-99.6
33.2,-85.4
40.6,-73.4
31.6,-8.6
18.4,-78
48.2,14
50.8,19
-29.8,31
51.2,10
47.6,1.6
46.2,3
43.6,-81.6
38.2,36.2
52.6,-4
51.2,21.8
55.4,37.6
44.8,0.6
46.6,19
47.6,4.2
-33.6,-61
26.6,120
4,-74.8
42.4,18.4
54.8,33.6
49.2,8.6
50.4,4.4
52.2,21.6
39.6,-2.8
45.6,-94.8
41.2,-85.4
9.2,-69.2
-12.4,13.6
31.4,119.4
37.8,127.6
49.6,1
47.4,-2.6
46.8,2.6
-28.4,153.6
47.4,1
45.6,19.8
53.2,20.4
61.4,25
46,2.4
59.4,16
14.2,79.2
49.6,15.2
49.6,6
48,14.2
56,10
51,6.6
49,10.4
33,-97.2
37,-5.8
48.4,13.6
11.8,124.8
9.6,123.8
49.8,2.8
46.6,14
35,33.8
51.8,-3.6
40.6,-5.6
52.4,17.2
55.6,25
51.2,16.8
44.4,2.8
45.4,12.2
46,13.4
20.6,-100.8
46.6,2
-33.6,-70.6
57.8,41.2
47.6,26.2
52.8,6.6
34,-84.6
50.4,11.6
10,-84.4
49.4,3.6
-9.6,14
50.6,13.8
48.2,21
-23,-46.6
38,-120.2
51.6,7.4
2.8,102
47.4,3
50.8,21.8
44.8,11.2
-35.8,146.8
52,4.8
54.4,32.4
46.8,2
50.6,16.6
49.6,6.4
48.6,10.8
53.2,23
50,9
46.8,7.6
33.8,-78.6
38.6,-27.2
35.8,-95.4
46.8,21.2
41.2,-73
41.6,20
48.4,14.4
44.8,5
40.8,14.2
70,23.2
39,-77.8
38.2,-0.6
52.8,5.8
44.4,9.4
54.6,-2.6
60.2,16.8
41.2,41.2
19.8,-101.6
43,-72.4
41.2,13.6
26.8,117.2
41,-86.4
29.6,121.4
35.2,127.8
39.2,-9.2
43,11.8
59.8,15
46.2,15.2
45.8,7.2
48.2,4.8
36.2,-6
52.8,-112.4
48.8,46.4
33,129.2
28.4,-14
50.6,3.2
53.6,12.8
10.4,122.8
47.2,19.4
47.8,1
46.4,-0.6
43.8,12.2
35,115.8
32,-97.8
-10.6,-37.6
54.4,-1.6
53.2,12
41.6,-70.6
42.4,9.4
64,24.2
41.2,-8.6
50.6,3.6
47.6,10.8
-18.2,178.4
-27.6,151.2
48.2,10.4
47.2,14.8
49.2,-1.4
49.2,10
-37.8,147.4
42.4,-71.8
42.2,-2.6
27.2,112.8
45.6,18.4
49,5.4
32.8,35.2
38.6,-77.6
37,-80.2
52.6,13.8
46,8.8
45.8,-0.6
9.2,76.4
48,17.8
45.2,6.4
36.8,6.2
43.6,-0.2
43.6,-90.4
51.2,13
45.4,-91.8
47.2,11
49.8,19.6
33.8,135.2
